chapter,verse,word,start_of_clause,end_of_clause
1,1,XZWN,b,-
1,1,JC<JHW,-,-
1,1,BN,-,-
1,1,>MWY,-,e
1,1,>CR,b,-
1,1,XZH,-,-
1,1,<L,-,-
1,1,JHWDH,-,-
1,1,W,-,-
1,1,JRWCLM,-,-
1,1,B,-,-
1,1,JWMJ,-,-
1,1,<WZJH,-,-
1,1,JWTM,-,-
1,1,>XZ,-,-
1,1,JXZQJH,-,-
1,1,MLKJ,-,-
1,1,JHWDH,-,e
1,2,CM<W,b,e
1,2,CMJM,b,e
1,2,W,b,-
1,2,H>ZJNJ,-,e
1,2,H,b,-
1,2,>RY,-,e
1,2,KJ>,b,-
1,2,JHWH,-,-
1,2,DBR,-,e
1,2,BNJM,b,-
1,2,GDLTJ,-,e
1,2,W,b,-
1,2,RWMMTJ,-,e
1,2,W,b,-
1,2,HMH,-,-
1,2,PC<W,-,-
1,2,BJ,-,e
1,3,JD<,b,-
1,3,CWR,-,-
1,3,QWNJHW,-,e
1,3,W,b,-
1,3,XMWR,-,-
1,3,>BWS,-,-
1,3,B<LJW,-,e
1,3,JFR>L,b,-
1,3,LW>,-,-
1,3,JD<,-,e
1,3,W,b,-
1,3,<MJ,-,-
1,3,LW>,-,-
1,3,HTBWNN,-,e
1,4,HWJ,b,-
1,4,GWJ,-,-
1,4,XWVH,-,-
1,4,<M,-,-
1,4,KBD,-,-
1,4,<WWN,-,-
1,4,ZR<,-,-
1,4,MR<JM,-,-
1,4,BNJM,-,-
1,4,MCXJTJM,-,e
1,4,<ZBW,b,-
1,4,>T,-,-
1,4,JHWH,-,e
1,4,N>YW,b,-
1,4,>T,-,-
1,4,QDWC,-,-
1,4,JFR>L,-,e
1,4,NZRW,b,-
1,4,>XWR,-,e
1,5,<L,b,-
1,5,MH,-,-
1,5,TKW,-,-
1,5,<WD,-,e
1,5,TWSJPW,b,-
1,5,SRH,-,e
1,5,KWL,b,-
1,5,R>WC,-,-
1,5,L,-,-
1,5,XWLJ,-,e
1,5,W,b,-
1,5,KWL,-,-
1,5,LBB,-,-
1,5,DWH,-,e
1,6,M,b,-
1,6,KP,-,-
1,6,RGL,-,-
1,6,W,-,-
1,6,<D,-,-
1,6,RW>C,-,-
1,6,>JN,-,-
1,6,BW,-,-
1,6,MTM,-,e
1,6,PY<,b,-
1,6,W,-,-
1,6,XBWRH,-,-
1,6,W,-,-
1,6,MKH,-,-
1,6,VRJH,-,e
1,6,LW>,b,-
1,6,ZRW,-,e
1,6,W,b,-
1,6,LW>,-,-
1,6,XWBCW,-,e
1,6,W,b,-
1,6,LW>,-,-
1,6,RKKH,-,-
1,6,B,-,-
1,6,CMN,-,e
1,7,>RYKM,b,-
1,7,CMMH,-,e
1,7,<RJKM,b,-
1,7,FRWPWT,-,-
1,7,>C,-,e
1,7,>DMTKM,b,e
1,7,L,b,-
1,7,NGDKM,-,-
1,7,ZRJM,-,-
1,7,>WKLJM,-,-
1,7,>WTH,-,e
1,7,W,b,-
1,7,CMMW,-,-
1,7,<LJH,-,-
1,7,K,-,-
1,7,M>PKT,-,-
1,7,ZRJM,-,e
1,8,W,b,-
1,8,NTRT,-,-
1,8,BT,-,-
1,8,YJWN,-,-
1,8,K,-,-
1,8,SWKH,-,-
1,8,B,-,-
1,8,KRM,-,-
1,8,W,-,-
1,8,K,-,-
1,8,MLWNH,-,-
1,8,B,-,-
1,8,MQCH,-,-
1,8,K,-,-
1,8,<JR,-,-
1,8,NYWRH,-,e
1,9,LWLJ,b,-
